Rank;Joueur;Nationalité;Position du joueur;Équipe;Compétition;Âge;Année de naissance;Match joué;Match commencé;Minutes jouées;Minutes jouées (90min);But;Passe décisive;But et passe décisive;But sans le pénalty;Pénalty  réussi;Pénalty raté;Carton jaune;Carton rouge;But attendus;But sans pénalty attendu;Passe décisive attendu;But et passe décisive attendue hors penalty;Progression ballon;Progression passe;Progression dribble;But mis par 90 minutes;Passe décisive faite par 90 minutes;But et passe décisive mis par 90 minutes;But mis par 90 minutes sans les pénalty;But et passe décisive mis par 90 minutes sans pénalty;But attendu pour 90 minutes;Passe décisive attendus pour 90 minutes;Nombre de but et de passe décisive attendus pour 90 minutes;But attendu pour 90 minutes sans penalty;Nombre de but et de passe décisive attendus pour 90 minutes sans penalty
605;Aaron Cresswell;ENG;DF,FW;West Ham;eng Premier League;33;1989;11;4;436;4.8;0;0;0;0;0;0;1;0;0.0;0.0;0.4;0.4;4;26;6;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.09;0.00;0.09
606;Bryan Cristante;ITA;MF,DF;Roma;it Serie A;28;1995;37;37;3289;36.5;3;4;7;3;0;0;8;0;4.0;4.0;2.9;6.9;47;234;80;0.08;0.11;0.19;0.08;0.19;0.11;0.08;0.19;0.11;0.19
607;Cristian;ESP;GK;Valencia;es La Liga;25;1998;1;0;57;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
608;Juan Cruz Armada;ESP;DF;Osasuna;es La Liga;31;1992;26;18;1667;18.5;0;1;1;0;0;0;3;0;0.0;0.0;0.4;0.4;16;77;29;0.00;0.05;0.05;0.00;0.05;0.00;0.02;0.02;0.00;0.02
609;Juan Cruz;ARG;FW,MF;Hellas Verona;it Serie A;24;1999;4;1;109;1.2;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;3;4;4;0.00;0.00;0.00;0.00;0.00;0.03;0.09;0.12;0.03;0.12
610;Juan Cruz;ESP;FW;Betis;es La Liga;23;2000;5;0;76;0.8;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;2;3;10;0.00;0.00;0.00;0.00;0.00;0.09;0.05;0.13;0.09;0.13
611;Juan Cuadrado;COL;DF;Inter;it Serie A;35;1988;10;0;267;3.0;0;2;2;0;0;0;1;0;0.2;0.2;1.6;1.7;17;11;35;0.00;0.67;0.67;0.00;0.67;0.06;0.52;0.59;0.06;0.59
612;Pau Cubarsí;ESP;DF;Barcelona;es La Liga;16;2007;19;18;1558;17.3;0;0;0;0;0;0;4;0;0.1;0.1;0.4;0.5;8;75;2;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
613;Marc Cucurella;ESP;DF;Chelsea;eng Premier League;25;1998;21;20;1782;19.8;0;2;2;0;0;0;10;0;1.1;1.1;1.1;2.2;31;50;73;0.00;0.10;0.10;0.00;0.10;0.06;0.05;0.11;0.06;0.11
614;Iván Cuéllar;ESP;GK;Mallorca;es La Liga;39;1984;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
615;Jorge Cuenca;ESP;DF;Villarreal;es La Liga;23;1999;29;21;1963;21.8;3;1;4;3;0;0;7;0;1.2;1.2;0.2;1.5;11;78;30;0.14;0.05;0.18;0.14;0.18;0.06;0.01;0.07;0.06;0.07
616;Josh Cullen;IRL;MF;Burnley;eng Premier League;27;1996;25;23;2057;22.9;2;3;5;2;0;0;9;0;0.6;0.6;1.8;2.4;22;123;22;0.09;0.13;0.22;0.09;0.22;0.03;0.08;0.11;0.03;0.11
617;Matheus Cunha;BRA;FW,MF;Wolves;eng Premier League;24;1999;32;29;2440;27.1;12;7;19;11;1;1;9;0;9.5;8.7;3.2;11.9;107;87;139;0.44;0.26;0.70;0.41;0.66;0.35;0.12;0.47;0.32;0.44
618;Marvin Cuni;ALB;FW;Frosinone;it Serie A;22;2001;22;6;534;5.9;1;0;1;1;0;0;0;0;1.3;1.3;0.3;1.6;6;11;45;0.17;0.00;0.17;0.17;0.17;0.22;0.05;0.28;0.22;0.28
619;Eric Curbelo;ESP;DF,MF;Las Palmas;es La Liga;29;1994;2;1;102;1.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
620;Sam Curtis;IRL;DF;Sheffield Utd;eng Premier League;17;2005;1;0;28;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
621;Tomáš Čvančara;CZE;FW;Gladbach;de Bundesliga;22;2000;21;7;896;10.0;4;1;5;3;1;2;4;0;5.9;4.3;0.7;5.0;12;13;47;0.40;0.10;0.50;0.30;0.40;0.59;0.07;0.66;0.43;0.51
622;Danilo D'Ambrosio;ITA;DF;Monza;it Serie A;34;1988;24;16;1536;17.1;0;0;0;0;0;0;5;1;0.7;0.7;0.2;0.8;12;61;25;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.05;0.04;0.05
623;Alberto Dadie;ESP;MF;Real Sociedad;es La Liga;21;2002;1;0;28;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
624;Trévis Dago;CIV;FW,MF;Lille;fr Ligue 1;18;2005;4;0;23;0.3;0;1;1;0;0;0;1;0;0.0;0.0;0.4;0.5;1;0;1;0.00;3.91;3.91;0.00;3.91;0.16;1.63;1.78;0.16;1.78
625;Finn Dahmen;GER;GK;Augsburg;de Bundesliga;25;1998;31;31;2790;31.0;0;0;0;0;0;0;4;0;0.0;0.0;0.1;0.1;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
626;Mahmoud Dahoud;GER;MF;Brighton;eng Premier League;27;1996;9;6;452;5.0;0;1;1;0;0;0;1;1;0.2;0.2;0.9;1.1;4;11;6;0.00;0.20;0.20;0.00;0.20;0.04;0.18;0.22;0.04;0.22
627;Mahmoud Dahoud;GER;MF;Stuttgart;de Bundesliga;27;1996;13;1;227;2.5;1;0;1;1;0;0;0;0;0.6;0.6;0.5;1.1;1;19;5;0.40;0.00;0.40;0.40;0.40;0.22;0.21;0.43;0.22;0.43
628;Ameen Al-Dakhil;BEL;DF;Burnley;eng Premier League;21;2002;13;12;1056;11.7;1;0;1;1;0;0;1;0;1.3;1.3;0.1;1.4;7;35;9;0.09;0.00;0.09;0.09;0.09;0.11;0.01;0.12;0.11;0.12
629;Thijs Dallinga;NED;FW;Toulouse;fr Ligue 1;22;2000;33;28;2510;27.9;14;2;16;13;1;3;6;0;14.1;11.8;1.2;13.0;32;38;164;0.50;0.07;0.57;0.47;0.54;0.51;0.04;0.55;0.42;0.47
630;Diogo Dalot;POR;DF;Manchester Utd;eng Premier League;24;1999;36;35;3174;35.3;2;3;5;2;0;0;6;1;1.7;1.7;2.9;4.6;52;124;111;0.06;0.09;0.14;0.06;0.14;0.05;0.08;0.13;0.05;0.13
631;Mikkel Damsgaard;DEN;MF;Brentford;eng Premier League;23;2000;23;7;842;9.4;0;2;2;0;0;0;2;0;0.9;0.9;1.4;2.4;16;61;32;0.00;0.21;0.21;0.00;0.21;0.10;0.16;0.25;0.10;0.25
632;Flavius Daniliuc;AUT;DF;Salernitana;it Serie A;22;2001;14;8;744;8.3;0;0;0;0;0;0;2;0;0.2;0.2;0.2;0.5;8;37;2;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06
633;Danilo;BRA;MF;Nott'ham Forest;eng Premier League;22;2001;29;20;1792;19.9;2;2;4;2;0;0;4;0;1.8;1.8;1.5;3.4;22;83;28;0.10;0.10;0.20;0.10;0.20;0.09;0.08;0.17;0.09;0.17
634;Danilo;BRA;DF;Juventus;it Serie A;32;1991;29;27;2452;27.2;1;1;2;1;0;0;7;0;1.3;1.3;0.9;2.2;18;161;21;0.04;0.04;0.07;0.04;0.07;0.05;0.03;0.08;0.05;0.08
635;Arnaut Danjuma;NED;MF,FW;Everton;eng Premier League;26;1997;14;5;595;6.6;1;0;1;1;0;0;0;0;2.6;2.6;1.1;3.7;24;9;44;0.15;0.00;0.15;0.15;0.15;0.40;0.17;0.57;0.40;0.57
636;Jayden Danns;ENG;FW;Liverpool;eng Premier League;17;2006;2;0;9;0.1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
637;Kevin Danso;AUT;DF;Lens;fr Ligue 1;24;1998;30;30;2655;29.5;1;0;1;1;0;0;6;0;1.8;1.8;0.4;2.2;27;133;3;0.03;0.00;0.03;0.03;0.03;0.06;0.01;0.07;0.06;0.07
638;Dante;BRA;DF;Nice;fr Ligue 1;39;1983;32;32;2843;31.6;1;1;2;1;0;0;5;1;0.9;0.9;1.0;2.0;13;185;6;0.03;0.03;0.06;0.03;0.06;0.03;0.03;0.06;0.03;0.06
639;Raimane Daou;COM;DF,MF;Marseille;fr Ligue 1;18;2004;1;0;25;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
640;Mohammed Daramy;DEN;FW,MF;Reims;fr Ligue 1;21;2002;25;19;1648;18.3;4;5;9;3;1;1;0;0;4.6;3.8;2.4;6.2;72;69;162;0.22;0.27;0.49;0.16;0.44;0.25;0.13;0.38;0.21;0.34
641;Sergi Darder;ESP;MF;Mallorca;es La Liga;29;1993;36;21;2157;24.0;2;5;7;2;0;0;4;0;2.2;2.2;6.4;8.6;56;132;75;0.08;0.21;0.29;0.08;0.29;0.09;0.27;0.36;0.09;0.36
642;Achraf Dari;MAR;DF,FW;Brest;fr Ligue 1;24;1999;4;1;121;1.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;8;0;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04
643;Matteo Darmian;ITA;DF;Inter;it Serie A;33;1989;33;27;2404;26.7;2;1;3;2;0;0;2;0;1.2;1.2;1.8;3.0;18;72;82;0.07;0.04;0.11;0.07;0.11;0.04;0.07;0.11;0.04;0.11
644;Lukas Daschner;GER;MF,FW;Bochum;de Bundesliga;24;1998;20;3;536;6.0;1;1;2;1;0;0;2;0;2.3;2.3;1.0;3.3;11;17;37;0.17;0.17;0.34;0.17;0.34;0.39;0.16;0.55;0.39;0.55
645;Josh Dasilva;ENG;DF,FW;Brentford;eng Premier League;24;1998;3;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;2;2;5;0.00;0.00;0.00;0.00;0.00;0.00;0.72;0.72;0.00;0.72
646;David Datro Fofana;CIV;FW;Burnley;eng Premier League;20;2002;15;10;879;9.8;4;1;5;4;0;0;1;0;4.5;4.5;1.8;6.4;21;15;39;0.41;0.10;0.51;0.41;0.51;0.46;0.19;0.65;0.46;0.65
647;David Datro Fofana;CIV;FW,MF;Union Berlin;de Bundesliga;20;2002;12;8;682;7.6;1;0;1;1;0;0;0;0;2.8;2.8;0.3;3.1;20;14;66;0.13;0.00;0.13;0.13;0.13;0.37;0.05;0.41;0.37;0.41
648;Juan David Cabal;COL;DF;Hellas Verona;it Serie A;22;2001;22;17;1497;16.6;0;0;0;0;0;0;6;0;0.5;0.5;0.4;0.9;26;70;48;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06
649;Jonathan David;CAN;FW;Lille;fr Ligue 1;23;2000;34;30;2629;29.2;19;4;23;17;2;3;4;0;17.5;15.0;3.3;18.3;47;79;198;0.65;0.14;0.79;0.58;0.72;0.60;0.11;0.71;0.51;0.63
650;Alphonso Davies;CAN;DF;Bayern Munich;de Bundesliga;22;2000;29;24;2065;22.9;2;5;7;2;0;0;0;0;1.0;1.0;2.9;3.8;121;117;139;0.09;0.22;0.31;0.09;0.31;0.04;0.12;0.17;0.04;0.17
651;Ben Davies;WAL;DF;Tottenham;eng Premier League;30;1993;17;12;1090;12.1;1;0;1;1;0;0;2;0;2.3;2.3;0.4;2.7;13;71;20;0.08;0.00;0.08;0.08;0.08;0.19;0.03;0.23;0.19;0.23
652;Tom Davies;ENG;MF;Sheffield Utd;eng Premier League;25;1998;9;2;221;2.5;0;0;0;0;0;0;2;0;0.4;0.4;0.1;0.4;3;8;3;0.00;0.00;0.00;0.00;0.00;0.14;0.03;0.17;0.14;0.17
653;Keinan Davis;ENG;FW,MF;Udinese;it Serie A;25;1998;8;0;186;2.1;1;0;1;1;0;0;2;0;0.5;0.5;0.1;0.6;2;6;15;0.48;0.00;0.48;0.48;0.48;0.24;0.04;0.28;0.24;0.28
654;Paweł Dawidowicz;POL;DF;Hellas Verona;it Serie A;28;1995;28;25;2143;23.8;0;0;0;0;0;0;5;0;0.5;0.5;0.0;0.6;11;89;5;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
655;Craig Dawson;ENG;DF;Wolves;eng Premier League;33;1990;25;25;2209;24.5;1;1;2;1;0;0;7;0;1.5;1.5;1.4;2.9;1;49;4;0.04;0.04;0.08;0.04;0.08;0.06;0.06;0.12;0.06;0.12
656;Kevin De Bruyne;BEL;MF;Manchester City;eng Premier League;32;1991;18;15;1221;13.6;4;10;14;4;0;0;2;0;2.4;2.4;11.5;14.0;47;111;133;0.29;0.74;1.03;0.29;1.03;0.18;0.85;1.03;0.18;1.03
657;Charles De Ketelaere;BEL;FW,MF;Atalanta;it Serie A;22;2001;35;25;2026;22.5;10;8;18;9;1;1;1;0;7.1;6.3;6.1;12.4;88;126;219;0.44;0.36;0.80;0.40;0.76;0.31;0.27;0.59;0.28;0.55
658;Rodrigo De Paul;ARG;MF;Atlético Madrid;es La Liga;29;1994;34;25;2075;23.1;3;5;8;3;0;0;7;0;1.8;1.8;5.0;6.8;73;202;55;0.13;0.22;0.35;0.13;0.35;0.08;0.22;0.30;0.08;0.30
659;Mattia De Sciglio;ITA;DF;Juventus;it Serie A;30;1992;1;1;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
660;Lorenzo De Silvestri;ITA;DF;Bologna;it Serie A;35;1988;15;7;674;7.5;2;0;2;2;0;0;0;0;0.2;0.2;0.0;0.2;14;27;12;0.27;0.00;0.27;0.27;0.27;0.03;0.00;0.03;0.03;0.03
661;Thibault De Smet;BEL;DF;Reims;fr Ligue 1;25;1998;27;22;1831;20.3;0;0;0;0;0;0;7;1;0.3;0.3;0.8;1.1;23;104;66;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.05;0.01;0.05
662;Koni De Winter;BEL;DF;Genoa;it Serie A;21;2002;29;26;2380;26.4;0;1;1;0;0;0;8;1;0.8;0.8;1.0;1.8;21;76;15;0.00;0.04;0.04;0.00;0.04;0.03;0.04;0.07;0.03;0.07
663;Grégoire Defrel;MTQ;FW,MF;Sassuolo;it Serie A;32;1991;20;7;757;8.4;1;2;3;1;0;0;0;0;1.0;1.0;1.2;2.2;7;17;42;0.12;0.24;0.36;0.12;0.36;0.12;0.14;0.26;0.12;0.26
664;Alessandro Deiola;ITA;MF;Cagliari;it Serie A;27;1995;27;19;1608;17.9;1;0;1;1;0;0;7;0;2.5;2.5;0.9;3.4;9;64;21;0.06;0.00;0.06;0.06;0.06;0.14;0.05;0.19;0.14;0.19
665;Romain Del Castillo;FRA;FW;Brest;fr Ligue 1;27;1996;33;30;2497;27.7;8;8;16;5;3;3;4;0;5.2;2.9;9.9;12.8;101;155;287;0.29;0.29;0.58;0.18;0.47;0.19;0.36;0.55;0.10;0.46
666;Thomas Delaine;FRA;DF,MF;Strasbourg;fr Ligue 1;31;1992;27;24;2044;22.7;1;1;2;1;0;0;5;0;1.7;1.7;3.6;5.3;63;52;151;0.04;0.04;0.09;0.04;0.09;0.07;0.16;0.23;0.07;0.23
667;Sacha Delaye;FRA;MF,FW;Montpellier;fr Ligue 1;21;2002;9;0;130;1.4;0;0;0;0;0;0;1;0;0.3;0.3;0.1;0.4;2;4;8;0.00;0.00;0.00;0.00;0.00;0.23;0.07;0.30;0.23;0.30
668;Hannes Delcroix;BEL;DF;Burnley;eng Premier League;24;1999;12;5;589;6.5;0;0;0;0;0;0;2;0;0.4;0.4;0.2;0.6;2;18;6;0.00;0.00;0.00;0.00;0.00;0.05;0.03;0.09;0.05;0.09
669;Alessandro Dellavalle;ITA;DF;Torino;it Serie A;19;2004;1;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
670;Olivier Deman;BEL;DF;Werder Bremen;de Bundesliga;23;2000;29;14;1365;15.2;2;1;3;2;0;0;5;0;1.1;1.1;0.9;2.0;26;40;53;0.13;0.07;0.20;0.13;0.20;0.07;0.06;0.13;0.07;0.13
671;Karamoko Dembele;SCO;MF,FW;Brest;fr Ligue 1;20;2003;1;0;16;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
672;Ousmane Dembélé;FRA;MF,FW;Paris S-G;fr Ligue 1;26;1997;26;17;1506;16.7;3;8;11;3;0;0;0;0;4.4;4.4;6.7;11.1;160;133;247;0.18;0.48;0.66;0.18;0.66;0.26;0.40;0.67;0.26;0.67
673;Jessy Deminguet;FRA;MF,FW;Strasbourg;fr Ligue 1;25;1998;18;9;690;7.7;0;0;0;0;0;0;1;0;0.3;0.3;0.4;0.7;7;24;13;0.00;0.00;0.00;0.00;0.00;0.03;0.06;0.09;0.03;0.09
674;Ermedin Demirović;BIH;FW,MF;Augsburg;de Bundesliga;25;1998;33;33;2873;31.9;15;9;24;12;3;4;7;0;13.5;10.3;3.9;14.2;28;60;167;0.47;0.28;0.75;0.38;0.66;0.42;0.12;0.54;0.32;0.45
675;Diego Demme;GER;MF;Napoli;it Serie A;31;1991;2;1;73;0.8;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;3;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
676;Sepp van den Berg;NED;DF;Mainz 05;de Bundesliga;21;2001;33;31;2839;31.5;3;0;3;3;0;0;9;0;2.7;2.7;0.3;3.0;7;95;6;0.10;0.00;0.10;0.10;0.10;0.08;0.01;0.09;0.08;0.09
677;Leander Dendoncker;BEL;MF;Aston Villa;eng Premier League;28;1995;8;1;119;1.3;1;0;1;1;0;0;0;0;0.7;0.7;0.0;0.7;0;3;2;0.76;0.00;0.76;0.76;0.76;0.56;0.00;0.56;0.56;0.56
678;Leander Dendoncker;BEL;MF;Napoli;it Serie A;28;1995;3;0;24;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12
679;Rémy Descamps;FRA;GK;Nantes;fr Ligue 1;27;1996;6;6;540;6.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
680;Mikkel Desler;DEN;DF;Toulouse;fr Ligue 1;28;1995;24;19;1544;17.2;0;1;1;0;0;0;2;0;1.1;1.0;0.7;1.7;30;81;96;0.00;0.06;0.06;0.00;0.06;0.06;0.04;0.10;0.06;0.10
681;Arthur Desmas;FRA;GK;Le Havre;fr Ligue 1;29;1994;33;33;2970;33.0;0;0;0;0;0;0;2;0;0.0;0.0;0.4;0.4;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01
682;Mattia Destro;ITA;FW,MF;Empoli;it Serie A;32;1991;15;3;366;4.1;0;0;0;0;0;0;2;0;1.2;1.2;0.3;1.5;4;4;19;0.00;0.00;0.00;0.00;0.00;0.29;0.08;0.37;0.29;0.37
683;Samuele Di Benedetto;GER;MF;Stuttgart;de Bundesliga;18;2005;1;0;7;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.30;0.30;0.00;0.30
684;Federico Di Francesco;ITA;FW,MF;Lecce;it Serie A;29;1994;2;0;15;0.2;1;0;1;1;0;0;0;0;0.1;0.1;0.0;0.1;1;1;3;6.00;0.00;6.00;6.00;6.00;0.53;0.00;0.53;0.53;0.53
685;Raffaele Di Gennaro;ITA;GK;Inter;it Serie A;29;1993;1;0;23;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
686;Michele Di Gregorio;ITA;GK;Monza;it Serie A;26;1997;33;33;2872;31.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
687;Giovanni Di Lorenzo;ITA;DF;Napoli;it Serie A;29;1993;36;36;3234;35.9;1;6;7;1;0;0;6;0;3.1;3.1;4.9;8.0;95;304;250;0.03;0.17;0.19;0.03;0.19;0.09;0.14;0.22;0.09;0.22
688;Alessandro Di Pardo;ITA;DF,MF;Cagliari;it Serie A;24;1999;15;2;359;4.0;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;6;11;19;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.07;0.02;0.07
689;Boulaye Dia;SEN;FW,MF;Salernitana;it Serie A;26;1996;17;12;1143;12.7;4;0;4;3;1;1;1;0;3.9;3.1;0.5;3.6;18;22;57;0.31;0.00;0.31;0.24;0.24;0.31;0.04;0.35;0.24;0.28
690;Moussa Diaby;FRA;FW,MF;Aston Villa;eng Premier League;24;1999;38;25;2174;24.2;6;8;14;6;0;0;1;0;7.0;7.0;6.6;13.6;94;72;183;0.25;0.33;0.58;0.25;0.58;0.29;0.27;0.56;0.29;0.56
691;Lamine Diack;SEN;MF;Nantes;fr Ligue 1;22;2000;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
692;Mouctar Diakhaby;GUI;DF,MF;Valencia;es La Liga;26;1996;14;12;1073;11.9;1;0;1;1;0;0;6;0;0.7;0.7;0.0;0.8;7;29;1;0.08;0.00;0.08;0.08;0.08;0.06;0.00;0.06;0.06;0.06
693;Mamadou Diakhon;FRA;FW,MF;Reims;fr Ligue 1;17;2005;11;1;209;2.3;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.3;11;1;16;0.00;0.00;0.00;0.00;0.00;0.01;0.10;0.11;0.01;0.11
694;Bafodé Diakité;FRA;DF;Lille;fr Ligue 1;22;2001;21;19;1696;18.8;5;2;7;5;0;0;4;0;2.0;2.0;1.4;3.5;15;95;16;0.27;0.11;0.37;0.27;0.37;0.11;0.08;0.19;0.11;0.19
695;Ibrahim Diakité;GUI;DF;Reims;fr Ligue 1;19;2003;5;1;109;1.2;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;7;7;9;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.16;0.00;0.16
696;Moussa Diakité;MLI;MF;Cádiz;es La Liga;19;2003;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
697;Oumar Diakité;CIV;FW;Reims;fr Ligue 1;19;2003;28;18;1585;17.6;5;1;6;5;0;1;4;0;7.0;6.2;1.3;7.5;29;28;107;0.28;0.06;0.34;0.28;0.34;0.40;0.07;0.47;0.35;0.43
698;Amad Diallo;CIV;FW,MF;Manchester Utd;eng Premier League;21;2002;9;3;390;4.3;1;1;2;1;0;0;1;0;0.5;0.5;1.1;1.6;11;10;31;0.23;0.23;0.46;0.23;0.46;0.12;0.24;0.36;0.12;0.36
699;Amadou Diallo;ENG;MF;Newcastle Utd;eng Premier League;20;2003;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
700;Assane Diao;ESP;FW;Betis;es La Liga;17;2005;18;13;1048;11.6;2;0;2;2;0;0;4;0;2.5;2.5;0.7;3.2;33;20;101;0.17;0.00;0.17;0.17;0.17;0.21;0.06;0.28;0.21;0.28
701;Habib Diarra;SEN;MF,FW;Strasbourg;fr Ligue 1;19;2004;31;28;2305;25.6;3;1;4;2;1;1;3;0;3.4;2.7;1.3;3.9;59;107;88;0.12;0.04;0.16;0.08;0.12;0.13;0.05;0.18;0.10;0.15
702;Moussa Diarra;MLI;DF;Toulouse;fr Ligue 1;22;2000;22;15;1397;15.5;1;2;3;1;0;0;5;0;0.5;0.5;1.1;1.6;18;70;12;0.06;0.13;0.19;0.06;0.19;0.03;0.07;0.10;0.03;0.10
703;Rúben Dias;POR;DF;Manchester City;eng Premier League;26;1997;30;28;2559;28.4;0;0;0;0;0;0;0;0;1.4;1.4;0.3;1.7;34;173;16;0.00;0.00;0.00;0.00;0.00;0.05;0.01;0.06;0.05;0.06
704;Krépin Diatta;SEN;DF,FW;Monaco;fr Ligue 1;24;1999;26;12;1206;13.4;0;2;2;0;0;0;2;0;0.5;0.5;1.8;2.3;48;80;95;0.00;0.15;0.15;0.00;0.15;0.04;0.13;0.17;0.04;0.17
705;Mory Diaw;SEN;GK;Clermont Foot;fr Ligue 1;30;1993;30;30;2700;30.0;0;0;0;0;0;0;3;0;0.0;0.0;0.1;0.1;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
706;Mahamadou Diawara;FRA;MF;Lyon;fr Ligue 1;18;2005;11;4;358;4.0;0;0;0;0;0;0;2;0;0.7;0.7;0.1;0.9;13;20;14;0.00;0.00;0.00;0.00;0.00;0.19;0.03;0.22;0.19;0.22
707;Brahim Díaz;MAR;FW,MF;Real Madrid;es La Liga;23;1999;31;18;1545;17.2;8;6;14;8;0;0;0;0;5.7;5.7;4.4;10.1;76;75;166;0.47;0.35;0.82;0.47;0.82;0.33;0.26;0.59;0.33;0.59
708;Luis Díaz;COL;FW;Liverpool;eng Premier League;26;1997;37;32;2629;29.2;8;5;13;8;0;0;3;0;11.9;11.9;5.7;17.5;137;113;302;0.27;0.17;0.45;0.27;0.45;0.41;0.19;0.60;0.41;0.60
709;Víctor Díaz;ESP;DF,MF;Granada;es La Liga;35;1988;4;2;162;1.8;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
710;Famara Diedhiou;SEN;FW,MF;Granada;es La Liga;30;1992;8;0;89;1.0;0;1;1;0;0;0;1;0;0.5;0.5;0.2;0.7;5;0;19;0.00;1.01;1.01;0.00;1.01;0.50;0.21;0.71;0.50;0.71
711;Justin Diehl;GER;FW,MF;Köln;de Bundesliga;18;2004;7;1;168;1.9;0;0;0;0;0;0;0;0;0.2;0.2;0.2;0.4;6;2;17;0.00;0.00;0.00;0.00;0.00;0.12;0.10;0.23;0.12;0.23
712;Bamba Dieng;SEN;FW;Lorient;fr Ligue 1;23;2000;16;5;549;6.1;4;1;5;4;0;0;3;0;3.2;3.2;1.6;4.8;5;4;44;0.66;0.16;0.82;0.66;0.82;0.53;0.27;0.79;0.53;0.79
