Rank;Joueur;Nationalité;Position du joueur;Équipe;Compétition;Âge;Année de naissance;Match joué;Match commencé;Minutes jouées;Minutes jouées (90min);But;Passe décisive;But et passe décisive;But sans le pénalty;Pénalty  réussi;Pénalty raté;Carton jaune;Carton rouge;But attendus;But sans pénalty attendu;Passe décisive attendu;But et passe décisive attendue hors penalty;Progression ballon;Progression passe;Progression dribble;But mis par 90 minutes;Passe décisive faite par 90 minutes;But et passe décisive mis par 90 minutes;But mis par 90 minutes sans les pénalty;But et passe décisive mis par 90 minutes sans pénalty;But attendu pour 90 minutes;Passe décisive attendus pour 90 minutes;Nombre de but et de passe décisive attendus pour 90 minutes;But attendu pour 90 minutes sans penalty;Nombre de but et de passe décisive attendus pour 90 minutes sans penalty
169;Sardar Azmoun;IRN;FW,MF;Roma;it Serie A;28;1995;23;3;585;6.5;3;0;3;3;0;0;4;0;2.9;2.9;1.4;4.2;5;14;35;0.46;0.00;0.46;0.46;0.46;0.44;0.21;0.65;0.44;0.65
170;César Azpilicueta;ESP;DF;Atlético Madrid;es La Liga;33;1989;25;14;1423;15.8;0;2;2;0;0;0;4;0;0.6;0.6;2.4;3.0;39;77;39;0.00;0.13;0.13;0.00;0.13;0.04;0.15;0.19;0.04;0.19
171;Paulo Azzi;BRA;DF,MF;Cagliari;it Serie A;29;1994;25;9;950;10.6;0;0;0;0;0;0;1;0;1.2;1.2;0.7;1.9;47;35;42;0.00;0.00;0.00;0.00;0.00;0.12;0.06;0.18;0.12;0.18
172;Oussama El Azzouzi;MAR;MF;Bologna;it Serie A;22;2001;18;5;547;6.1;2;2;4;2;0;0;4;0;0.5;0.5;0.6;1.0;4;19;8;0.33;0.33;0.66;0.33;0.66;0.08;0.09;0.17;0.08;0.17
173;Abdellah Baallal;MAR;MF;Clermont Foot;fr Ligue 1;18;2004;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
174;Iddrisu Baba;GHA;MF;Almería;es La Liga;27;1996;25;14;1430;15.9;0;0;0;0;0;0;5;0;0.7;0.7;0.6;1.3;1;60;5;0.00;0.00;0.00;0.00;0.00;0.05;0.04;0.08;0.05;0.08
175;Srđan Babić;SRB;DF;Almería;es La Liga;27;1996;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;6;0;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04
176;Shavy Babicka;GAB;FW,MF;Toulouse;fr Ligue 1;23;2000;12;4;373;4.1;1;0;1;1;0;0;0;0;0.6;0.6;0.1;0.7;17;8;64;0.24;0.00;0.24;0.24;0.24;0.14;0.03;0.17;0.14;0.17
177;Aliou Badara Baldé;GUI;FW,DF;Nice;fr Ligue 1;20;2002;7;0;69;0.8;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;5;2;8;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.17;0.17;0.17
178;Loïc Bade;FRA;DF;Sevilla;es La Liga;23;2000;28;27;2277;25.3;0;1;1;0;0;0;5;1;0.9;0.9;0.5;1.3;15;76;3;0.00;0.04;0.04;0.00;0.04;0.04;0.02;0.05;0.04;0.05
179;Milan Badelj;CRO;MF;Genoa;it Serie A;34;1989;33;32;2535;28.2;1;3;4;1;0;0;6;0;1.4;1.4;1.1;2.5;18;151;36;0.04;0.11;0.14;0.04;0.14;0.05;0.04;0.09;0.05;0.09
180;Matthias Bader;GER;DF,MF;Darmstadt 98;de Bundesliga;26;1997;24;21;1802;20.0;1;2;3;1;0;0;1;0;0.7;0.7;2.3;3.0;38;67;66;0.05;0.10;0.15;0.05;0.15;0.04;0.12;0.15;0.04;0.15
181;Benoît Badiashile;FRA;DF;Chelsea;eng Premier League;22;2001;18;15;1338;14.9;0;1;1;0;0;0;3;0;0.3;0.3;1.5;1.8;3;46;3;0.00;0.07;0.07;0.00;0.07;0.02;0.10;0.12;0.02;0.12
182;Alex Baena;ESP;MF,FW;Villarreal;es La Liga;22;2001;34;33;2579;28.7;2;14;16;2;0;1;11;1;7.9;7.1;9.2;16.3;84;165;181;0.07;0.49;0.56;0.07;0.56;0.27;0.32;0.60;0.25;0.57
183;Jaime Báez;URU;FW,MF;Frosinone;it Serie A;28;1995;11;6;500;5.6;1;0;1;1;0;0;1;0;0.5;0.5;0.5;1.0;12;29;39;0.18;0.00;0.18;0.18;0.18;0.08;0.10;0.18;0.08;0.18
184;Nicola Bagnolini;ITA;GK;Bologna;it Serie A;19;2004;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
185;Leon Bailey;JAM;MF,FW;Aston Villa;eng Premier League;25;1997;35;22;2068;23.0;10;9;19;10;0;0;5;0;6.3;6.3;9.2;15.5;102;82;226;0.44;0.39;0.83;0.44;0.83;0.27;0.40;0.67;0.27;0.67
186;Eric Bailly;CIV;DF;Villarreal;es La Liga;29;1994;10;9;839;9.3;0;0;0;0;0;0;4;0;0.2;0.2;0.0;0.2;3;18;1;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
